,mean,mean,mean,mean,mean,mean,mean,count,count,count,count,count,count,count
,random_r,random_r1,sr1o,sro,zmscore,zrandom_rank,zrank,random_r,random_r1,sr1o,sro,zmscore,zrandom_rank,zrank
iteration,,,,,,,,,,,,,,
0.0,5.3709999999999996,3.8194849999999994,5.38256,5.3709999999999996,256.45,1.0,1.0,10,10,10,10,10,10,10
0.0002,,,3037.5,184.0,,,0.0001,0,0,1,1,0,0,1
0.9208,,,,0.0001,,,0.7400057911872864,0,0,0,1,0,0,1
1.0,5.3776625,3.7708675000000005,5.248430000000001,5.29932,356.05,1.0,10.9,10,10,10,10,10,10,10
2.0,5.381472499999999,3.7353650000000003,5.15676,5.24592,440.55,1.075,61.5,10,10,10,10,10,10,10
3.0,5.3843049999999995,3.7057075,5.0831,5.20332,510.15,1.4,181.4,10,10,10,10,10,10,10
4.0,5.386547500000001,3.67956,5.019959999999999,5.166570000000001,566.45,2.375,351.1,10,10,10,10,10,10,10
5.0,5.388397499999999,3.6558149999999996,4.963819999999999,5.133979999999999,617.75,3.5,506.3,10,10,10,10,10,10,10
6.0,5.389955,3.63388,4.91272,5.1044,668.65,5.275,615.4,10,10,10,10,10,10,10
7.0,5.3912700000000005,3.6133525,4.865499999999999,5.0772,709.65,7.425,696.4,10,10,10,10,10,10,10
8.0,5.392402499999999,3.59396,4.8213099999999995,5.05186,742.65,9.6,761.3,10,10,10,10,10,10,10
9.0,5.39338,3.5755250000000003,4.779590000000001,5.028169999999999,771.65,12.275,809.6,10,10,10,10,10,10,10
10.0,5.3942125,3.5579075000000002,4.739969999999999,5.005809999999999,792.05,14.775,847.6,10,10,10,10,10,10,10
11.0,5.3949225,3.540985,4.70207,4.9846699999999995,813.65,17.3,882.3,10,10,10,10,10,10,10
12.0,5.3955375000000005,3.5246825,4.66569,4.96458,832.85,20.25,907.4,10,10,10,10,10,10,10
13.0,5.396042500000001,3.508935,4.63062,4.94541,848.15,23.025,927.9,10,10,10,10,10,10,10
14.0,5.396495,3.4936675,4.59671,4.927120000000001,861.35,25.525,943.8,10,10,10,10,10,10,10
15.0,5.3968575,3.47886,4.56385,4.9096,873.35,28.525,955.6,10,10,10,10,10,10,10
16.0,5.397165,3.4644475,4.5318900000000015,4.892830000000002,884.05,31.025,965.6,10,10,10,10,10,10,10
