,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,count,count,count,count,count,count,count,count,count,count,count
,random_r,random_r1,random_r2,sr1u,sro,ur2o,zmrr,zmscore,zrandom_mrr,zrandom_rank,zrank,random_r,random_r1,random_r2,sr1u,sro,ur2o,zmrr,zmscore,zrandom_mrr,zrandom_rank,zrank
iteration,,,,,,,,,,,,,,,,,,,,,,
0,5.3360249999999985,4.572587999999999,4.492600999999999,5.377531,5.3360249999999985,5.208101,1.0,1,1.0,1.0,1.0,100,100,100,100,100,100,100,100,100,100,100
1,5.318701999999999,4.498141000000001,4.422527999999999,5.27393,5.261582000000001,5.107476,0.43311612909724395,1,0.9502572601010101,2.67,91.205,100,100,100,100,100,100,100,100,100,100,100
2,5.303462999999999,4.443635000000001,4.370605999999999,5.2007270000000005,5.210186,5.036331000000001,0.25448603345527304,1,0.8278230907066907,12.3,398.705,100,100,100,100,100,100,100,100,100,100,100
3,5.289428999999999,4.398059999999997,4.326891,5.140861999999999,5.168735000000001,4.9781210000000025,0.19669698485926118,1,0.6867426607800173,36.73,806.105,100,100,100,100,100,100,100,100,100,100,100
4,5.276274,4.357887,4.288195999999999,5.088932999999999,5.133217000000002,4.927600000000001,0.16495242023278686,1,0.587428452027189,79.41,1172.425,100,100,100,100,100,100,100,100,100,100,100
5,5.263829,4.321458,4.252998999999999,5.042389,5.101772999999999,4.882314000000001,0.13961805373939065,1,0.52461114904949,133.06,1405.97,100,100,100,100,100,100,100,100,100,100,100
6,5.251961000000003,4.2878240000000005,4.220444999999999,4.999809,5.073342000000002,4.840884,0.12837520361307792,1,0.4653754395562555,197.06,1525.86,100,100,100,100,100,100,100,100,100,100,100
7,5.240596000000002,4.256399,4.189997000000002,4.960281,5.047274999999999,4.802425999999998,0.1257358757434866,1,0.43995426223900147,272.475,1584.35,100,100,100,100,100,100,100,100,100,100,100
8,5.229691000000003,4.226766999999998,4.161245000000001,4.923212,5.023132999999998,4.766355000000002,0.12455448365143842,1,0.41761245662887503,362.52,1617.2,100,100,100,100,100,100,100,100,100,100,100
9,5.2191779999999985,4.198626,4.133933000000001,4.888155,5.000597999999999,4.7322690000000005,0.11060667844541335,1,0.3970195733082757,463.075,1639.9,100,100,100,100,100,100,100,100,100,100,100
10,5.2090250000000005,4.171765000000001,4.107857999999997,4.854791000000001,4.979439,4.699838000000003,0.10746712216560388,1,0.38731054308412616,568.875,1657.66,100,100,100,100,100,100,100,100,100,100,100
11,5.199218000000001,4.146005,4.082852,4.822877999999999,4.959465999999999,4.66883,0.10657247803205476,1,0.3884479719497612,675.045,1673.75,100,100,100,100,100,100,100,100,100,100,100
12,5.189709000000001,4.121203,4.058778000000001,4.792215000000001,4.940538000000001,4.639051,0.10612510545563843,1,0.3758059488046067,771.135,1688.845,100,100,100,100,100,100,100,100,100,100,100
13,5.180493000000001,4.0972610000000005,4.035542,4.76265,4.922534999999999,4.610347999999999,0.10536552188438052,1,0.3701949305650997,855.66,1703.14,100,100,100,100,100,100,100,100,100,100,100
14,5.171549000000002,4.074077,4.013056000000001,4.734054999999999,4.905370000000001,4.582606999999998,0.10520806659820091,1,0.36754928846786233,926.57,1715.74,100,100,100,100,100,100,100,100,100,100,100
15,5.162839,4.051561000000001,3.9912330000000016,4.706321,4.888946999999999,4.555715000000001,0.09978927727605984,1,0.35906400180619313,984.68,1727.29,100,100,100,100,100,100,100,100,100,100,100
16,5.15438,4.029669999999999,3.970027,4.679350000000001,4.873218000000001,4.529579999999998,0.09973722629497597,1,0.35813564964108957,1030.455,1738.24,100,100,100,100,100,100,100,100,100,100,100
17,5.1461429999999995,4.008338999999999,3.949374000000002,4.6530759999999995,4.858115999999998,4.504127999999999,0.10472818586453378,1,0.3545500687430223,1065.755,1748.005,100,100,100,100,100,100,100,100,100,100,100
18,5.138115000000002,3.987501,3.929216000000002,4.627418000000002,4.8435960000000025,4.479302,0.09783153270667506,1,0.3536029157245019,1093.925,1756.79,100,100,100,100,100,100,100,100,100,100,100
19,5.13029,3.9671430000000005,3.9095370000000007,4.602333999999998,4.829617999999999,4.455044000000002,0.09639423517779411,1,0.35298453856339834,1114.62,1764.44,100,100,100,100,100,100,100,100,100,100,100
